                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92066,                 2.3449,                 2.0813,                 1.4406,                0.00202,                0.01685,                0.00033,                  7e-05,                0.00095,                0.02247,                0.00014,                  3e-05,                 5.0092,                 140.61,                    inf,                 28.241,             0.00054065,             0.00054065,             0.00054065
                      2,                  1.023,                 1.9995,                 1.3453,                 1.4847,                0.01633,                0.17891,                0.00612,                0.00186,                  4e-05,                0.01124,                  2e-05,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010855,              0.0010855,              0.0010855
                      3,                 1.0567,                 2.0296,                 1.3175,                  1.515,                0.00016,                0.01685,                  8e-05,                  2e-05,                      0,                      0,                      0,                      0,                 5.5243,                 611.32,                    inf,                 34.255,              0.0016193,              0.0016193,              0.0016193
                      4,                 1.0137,                 1.9774,                 1.2403,                 1.4737,                0.00031,                0.08989,                0.00018,                  4e-05,                  8e-05,                0.02247,                  4e-05,                  1e-05,                 4.1343,                 24.028,                    inf,                  10.18,              0.0016175,              0.0016175,              0.0016175
                      5,                0.93892,                 1.9317,                 1.1486,                 1.4152,                0.22369,                0.39888,                0.35475,                0.22147,                0.19906,                0.35955,                 0.2882,                0.13277,                 1.1868,                 4.3329,                 5.2549,                 2.4653,               0.001601,               0.001601,               0.001601
                      6,                0.88553,                 1.7957,                 1.1024,                 1.3939,                0.85423,                0.37079,                  0.502,                0.36926,                 0.8258,                 0.3427,                0.34183,                0.13649,                0.92031,                  9.727,                 2.1421,                 1.8016,              0.0015845,              0.0015845,              0.0015845
                      7,                 0.8626,                 1.7755,                 1.0368,                 1.3616,                 0.7282,                0.49575,                0.65616,                0.47557,                0.70133,                0.47904,                0.63693,                0.37294,                0.79079,                 3.1472,                 1.3168,                  1.725,               0.001568,               0.001568,               0.001568
                      8,                0.82559,                  1.716,                 1.0164,                 1.3379,                0.53782,                0.57519,                0.60615,                0.40108,                0.40496,                 0.7299,                0.57356,                0.35712,                0.95366,                 2.1481,                 1.3587,                 1.8568,              0.0015515,              0.0015515,              0.0015515
                      9,                0.81151,                  1.682,                 1.0092,                  1.327,                0.56789,                0.67221,                0.68896,                 0.5466,                0.51027,                0.62813,                0.62782,                0.40743,                0.64787,                 2.4199,                  1.071,                 1.4301,               0.001535,               0.001535,               0.001535
                     10,                0.78814,                  1.664,                0.96661,                 1.3129,                 0.5281,                0.66489,                0.65519,                0.49789,                0.59577,                0.57567,                0.62441,                0.40628,                 0.7266,                 1.6652,                0.97142,                 1.4769,              0.0015185,              0.0015185,              0.0015185
                     11,                0.77267,                 1.5855,                0.96521,                 1.2963,                0.58347,                0.84443,                0.66855,                0.55596,                0.58347,                0.84443,                0.66594,                0.47166,                0.61294,                 1.5513,                0.89278,                 1.3457,               0.001502,               0.001502,               0.001502
                     12,                0.76147,                  1.604,                0.92696,                 1.2988,                0.48363,                0.77636,                0.56067,                0.45463,                0.46682,                0.77074,                0.55011,                0.38808,                0.67823,                 1.7055,                0.98385,                 1.4689,              0.0014855,              0.0014855,              0.0014855
                     13,                0.74911,                 1.5917,                0.92541,                 1.2858,                0.56373,                0.76599,                0.73824,                0.60238,                0.54065,                0.76606,                0.73785,                 0.5452,                0.61644,                 1.3124,                0.86278,                 1.3114,               0.001469,               0.001469,               0.001469
                     14,                 0.7176,                  1.511,                0.89142,                 1.2525,                0.71918,                0.68583,                0.72763,                0.55714,                0.71918,                0.68583,                0.73296,                0.50316,                0.63442,                 1.4276,                0.88102,                  1.345,              0.0014525,              0.0014525,              0.0014525
                     15,                0.70028,                 1.5005,                0.88069,                  1.242,                0.62853,                0.77074,                 0.7149,                0.57376,                0.61769,                0.75713,                0.69136,                0.52293,                0.59472,                 1.2873,                0.73637,                 1.2673,               0.001436,               0.001436,               0.001436
                     16,                0.70162,                 1.4794,                 0.8722,                 1.2398,                0.73238,                0.65125,                0.72532,                0.56768,                 0.6037,                 0.8327,                 0.7361,                0.50949,                0.62331,                 1.4339,                 0.8442,                 1.3325,              0.0014195,              0.0014195,              0.0014195
                     17,                0.70489,                 1.4839,                0.86432,                 1.2419,                0.56993,                0.71913,                0.70224,                0.56204,                0.55209,                0.70379,                0.67636,                0.47805,                0.60602,                 1.4776,                0.87624,                 1.3544,              0.0014029,              0.0014029,              0.0014029
                     18,                0.68716,                 1.4752,                0.85896,                 1.2278,                0.59165,                0.75065,                0.65753,                 0.5521,                0.59165,                0.75065,                0.65668,                0.51098,                0.57474,                 1.2908,                0.88832,                 1.2584,              0.0013864,              0.0013864,              0.0013864
                     19,                0.66769,                 1.4389,                 0.8281,                  1.215,                0.63804,                0.74882,                0.75854,                0.63444,                0.61719,                0.72959,                0.72252,                0.52787,                0.57209,                 1.5061,                0.76246,                 1.2848,              0.0013699,              0.0013699,              0.0013699
                     20,                0.66693,                 1.4437,                0.83797,                 1.2177,                0.61597,                0.77737,                0.71859,                0.62255,                0.60924,                0.75713,                0.69589,                0.52834,                0.54993,                 1.5321,                0.75787,                 1.2634,              0.0013534,              0.0013534,              0.0013534
                     21,                0.65845,                 1.4184,                0.80763,                 1.2024,                0.58591,                0.78349,                0.64785,                0.53281,                0.57988,                0.77787,                0.63703,                0.48939,                0.61254,                 1.4087,                 0.9946,                 1.3644,              0.0013369,              0.0013369,              0.0013369
                     22,                0.65266,                 1.4115,                0.80808,                 1.1997,                 0.6262,                0.70744,                0.68346,                0.57706,                 0.6262,                0.70744,                0.68245,                0.49662,                 0.5454,                 1.4673,                 0.7502,                 1.2369,              0.0013204,              0.0013204,              0.0013204
                     23,                0.63547,                 1.3632,                  0.768,                 1.1857,                0.69582,                0.67739,                0.73151,                0.60222,                0.69582,                0.67739,                0.72546,                0.54043,                0.54946,                 1.2353,                0.77391,                 1.2396,              0.0013039,              0.0013039,              0.0013039
                     24,                0.63624,                 1.3804,                0.78241,                 1.1965,                0.66101,                0.62403,                0.66782,                0.54741,                0.66101,                0.62403,                0.66729,                0.51725,                0.60161,                 1.2713,                0.80815,                 1.3369,              0.0012874,              0.0012874,              0.0012874
                     25,                0.63509,                 1.3475,                0.77015,                 1.1829,                0.59481,                0.78013,                0.64337,                0.56691,                0.59481,                0.78013,                0.63719,                0.51562,                  0.493,                 1.1918,                 0.7438,                 1.1992,              0.0012709,              0.0012709,              0.0012709
                     26,                0.61792,                 1.3679,                0.75161,                 1.1746,                0.68022,                0.83168,                0.73105,                0.61209,                0.67558,                0.82606,                0.72651,                0.55835,                0.52307,                 1.1931,                0.69156,                 1.2342,              0.0012544,              0.0012544,              0.0012544
                     27,                0.61586,                  1.329,                0.76216,                 1.1769,                0.60361,                0.74114,                0.66945,                0.57187,                0.60693,                0.74676,                0.67461,                0.52621,                0.52817,                 1.2154,                0.75885,                  1.237,              0.0012379,              0.0012379,              0.0012379
                     28,                0.60876,                 1.3317,                0.75776,                   1.17,                0.67933,                0.72018,                0.68767,                0.59833,                0.67933,                0.72018,                0.68498,                 0.5447,                 0.5105,                 1.2056,                0.73349,                 1.1904,              0.0012214,              0.0012214,              0.0012214
                     29,                0.59214,                 1.2873,                0.73413,                 1.1536,                0.59894,                0.79491,                0.70264,                0.63259,                0.59894,                0.79491,                 0.7021,                0.56271,                0.45234,                 1.1992,                0.72669,                  1.126,              0.0012049,              0.0012049,              0.0012049
                     30,                0.59702,                  1.319,                0.72862,                  1.162,                 0.5443,                0.76037,                0.67658,                0.59536,                0.53453,                0.74914,                0.67309,                0.53942,                0.48531,                 1.2899,                 0.7606,                 1.1757,              0.0011884,              0.0011884,              0.0011884
                     31,                0.59669,                 1.3043,                0.70883,                 1.1591,                 0.6041,                0.81806,                0.72051,                 0.6286,                 0.6041,                0.81806,                0.71676,                0.55625,                0.51816,                 1.3842,                0.73725,                 1.2303,              0.0011719,              0.0011719,              0.0011719
                     32,                0.58638,                 1.2954,                0.70616,                 1.1488,                0.68458,                0.74835,                 0.7301,                0.62046,                0.68485,                 0.7503,                0.73072,                0.52626,                0.50093,                 1.4603,                0.75322,                 1.2096,              0.0011554,              0.0011554,              0.0011554
                     33,                0.58424,                 1.2798,                0.70189,                  1.146,                0.68635,                0.81506,                0.76277,                0.66849,                0.68635,                0.81506,                0.76234,                0.60817,                0.49014,                 1.1752,                0.68878,                 1.1987,              0.0011389,              0.0011389,              0.0011389
                     34,                0.59226,                 1.2857,                0.70401,                 1.1549,                0.62916,                0.74352,                0.72812,                0.63506,                0.63377,                0.74914,                0.72987,                0.57928,                0.51542,                 1.2075,                0.70318,                 1.2134,              0.0011224,              0.0011224,              0.0011224
                     35,                0.56112,                 1.2278,                0.69764,                 1.1361,                0.58862,                0.82184,                0.71859,                0.62894,                0.59234,                0.82745,                0.71694,                0.55708,                0.45041,                 1.5138,                0.70396,                 1.1245,              0.0011059,              0.0011059,              0.0011059
                     36,                0.55901,                 1.2419,                0.67887,                 1.1265,                0.61197,                0.79503,                0.69882,                0.61796,                0.61197,                0.79503,                 0.6963,                0.55244,                0.42083,                 1.2028,                 0.6662,                 1.1539,              0.0010894,              0.0010894,              0.0010894
                     37,                0.54936,                 1.2221,                0.67773,                 1.1242,                0.72631,                0.78383,                0.71508,                0.62313,                0.72631,                0.78383,                0.71462,                0.56171,                 0.4688,                 1.2393,                0.72069,                 1.1441,              0.0010729,              0.0010729,              0.0010729
                     38,                0.55468,                 1.2273,                0.64938,                 1.1295,                0.66045,                0.75389,                0.71366,                0.62437,                0.66045,                0.75389,                0.70942,                0.57774,                0.46933,                 1.1966,                0.78082,                 1.1277,              0.0010564,              0.0010564,              0.0010564
                     39,                0.55681,                 1.1815,                 0.6658,                 1.1287,                0.61251,                0.83374,                 0.7232,                0.64812,                0.60829,                0.82812,                0.72084,                0.58769,                0.44274,                 1.1163,                0.68674,                 1.1409,              0.0010399,              0.0010399,              0.0010399
                     40,                0.54441,                  1.192,                 0.6334,                 1.1131,                0.66441,                0.66771,                0.70117,                0.63002,                0.66833,                0.67333,                0.70126,                0.54583,                0.45744,                 1.2909,                0.82409,                 1.1328,              0.0010234,              0.0010234,              0.0010234
                     41,                0.53602,                 1.1879,                0.63632,                 1.1096,                 0.6453,                0.76632,                0.68507,                 0.6253,                0.64542,                0.76809,                 0.6863,                0.57599,                0.45007,                 1.2412,                0.80351,                 1.1585,              0.0010069,              0.0010069,              0.0010069
                     42,                0.54266,                 1.1873,                0.62891,                 1.1122,                0.64873,                0.76188,                0.72832,                0.62891,                0.64873,                0.76188,                0.72605,                0.57767,                0.45838,                 1.2417,                 0.7148,                 1.1582,             0.00099036,             0.00099036,             0.00099036
                     43,                0.53704,                  1.182,                0.61427,                 1.1153,                0.58535,                0.78522,                0.69457,                0.63408,                0.58535,                0.78522,                0.69965,                 0.5818,                0.41763,                 1.1603,                0.77673,                 1.0876,             0.00097386,             0.00097386,             0.00097386
                     44,                0.53558,                 1.1654,                0.60746,                  1.111,                0.60131,                0.83154,                0.70709,                 0.6363,                0.61773,                0.82551,                0.71018,                0.57148,                0.42265,                  1.178,                0.74226,                 1.1199,             0.00095736,             0.00095736,             0.00095736
                     45,                0.52692,                 1.1629,                0.61283,                  1.103,                0.63391,                0.83081,                0.70602,                 0.6398,                0.63391,                0.83081,                0.70861,                0.59197,                0.48505,                   1.33,                0.82094,                  1.196,             0.00094085,             0.00094085,             0.00094085
                     46,                0.52707,                 1.1526,                0.59543,                 1.0992,                0.68201,                0.71067,                0.69584,                 0.5901,                0.68201,                0.71067,                0.69202,                0.52608,                0.54814,                 1.3915,                0.91466,                 1.3468,             0.00092435,             0.00092435,             0.00092435
                     47,                0.52147,                 1.1619,                0.61417,                 1.1041,                0.72066,                 0.8131,                0.76952,                0.70119,                0.72066,                 0.8131,                0.76868,                0.62799,                0.44401,                  1.235,                0.61406,                 1.1607,             0.00090785,             0.00090785,             0.00090785
                     48,                0.50084,                 1.1242,                0.57908,                  1.087,                 0.7387,                0.61035,                0.66591,                0.59899,                 0.7387,                0.61035,                0.66478,                0.54798,                0.44239,                 1.3964,                0.88189,                 1.1254,             0.00089134,             0.00089134,             0.00089134
                     49,                0.50467,                 1.1224,                0.58025,                 1.0913,                0.70327,                0.72731,                0.69324,                0.63761,                0.70327,                0.72731,                 0.6961,                 0.5904,                0.43419,                 1.1938,                0.90371,                 1.1316,             0.00087484,             0.00087484,             0.00087484
                     50,                0.49719,                 1.0987,                0.57609,                 1.0786,                0.66052,                0.77074,                0.74829,                0.68094,                0.66052,                0.77074,                0.74805,                0.63205,                0.41551,                 1.1078,                0.79596,                 1.1311,             0.00085834,             0.00085834,             0.00085834
                     51,                0.50423,                 1.0987,                0.56871,                 1.0798,                0.59273,                0.82282,                0.68624,                0.60741,                0.59754,                0.82844,                0.68659,                0.55888,                0.45447,                 1.1162,                 0.7185,                 1.1597,             0.00084184,             0.00084184,             0.00084184
                     52,                0.50722,                 1.1021,                0.56094,                 1.0861,                0.64346,                0.68258,                0.68776,                0.61737,                0.64912,                 0.6882,                0.68894,                0.57143,                0.41851,                 1.1756,                0.76861,                 1.1149,             0.00082533,             0.00082533,             0.00082533
                     53,                0.49179,                 1.1208,                0.56136,                 1.0761,                0.69361,                0.69533,                 0.6812,                 0.6136,                0.69361,                0.69533,                 0.6812,                0.56605,                0.44886,                 1.2578,                0.85704,                 1.1582,             0.00080883,             0.00080883,             0.00080883
                     54,                 0.4947,                 1.1077,                 0.5605,                 1.0793,                0.69183,                0.67511,                0.66783,                0.60318,                0.69183,                0.67511,                0.66783,                0.54934,                0.47158,                 1.1767,                0.79278,                 1.2291,             0.00079233,             0.00079233,             0.00079233
                     55,                0.50068,                 1.0899,                0.54772,                 1.0863,                0.67238,                0.85811,                0.76208,                0.68382,                0.67238,                0.85811,                0.76208,                0.61496,                0.46659,                 1.2678,                0.67983,                 1.1599,             0.00077582,             0.00077582,             0.00077582
                     56,                0.48537,                 1.0518,                0.52409,                 1.0736,                  0.654,                0.70741,                0.65969,                0.60235,                0.65895,                0.71303,                0.66118,                0.54374,                0.45189,                 1.3374,                0.88112,                  1.173,             0.00075932,             0.00075932,             0.00075932
                     57,                0.47593,                 1.0773,                0.53353,                 1.0691,                0.74453,                0.72921,                0.72199,                0.65885,                0.74453,                0.72921,                0.72563,                0.60057,                0.44257,                 1.2983,                0.78738,                 1.1543,             0.00074282,             0.00074282,             0.00074282
                     58,                0.48052,                 1.0397,                0.51462,                 1.0643,                0.78235,                0.76877,                   0.74,                 0.6797,                0.78235,                0.76877,                0.73696,                0.61471,                0.43487,                 1.3186,                0.71481,                 1.1621,             0.00072631,             0.00072631,             0.00072631
                     59,                0.48183,                 1.0544,                0.51843,                 1.0673,                0.71347,                0.77336,                0.73333,                0.68895,                0.71347,                0.77336,                0.73384,                0.62375,                0.37412,                 1.2087,                0.73461,                 1.0293,             0.00070981,             0.00070981,             0.00070981
                     60,                0.45529,                 1.0138,                0.49662,                  1.052,                0.68654,                0.75389,                0.69737,                0.63812,                0.68654,                0.75389,                0.69438,                 0.5771,                0.39998,                 1.2229,                0.78635,                 1.0796,             0.00069331,             0.00069331,             0.00069331
                     61,                0.46901,                 1.0411,                 0.5163,                  1.058,                0.70786,                0.82519,                0.79251,                0.73892,                0.71368,                0.83081,                0.79249,                0.66155,                0.40677,                 1.1357,                0.68443,                 1.0764,              0.0006768,              0.0006768,              0.0006768
                     62,                0.46641,                 1.0407,                0.50536,                 1.0549,                0.72977,                0.74589,                0.74716,                0.66806,                 0.7347,                0.75151,                0.74622,                0.61328,                0.46531,                 1.2741,                0.76275,                 1.2156,              0.0006603,              0.0006603,              0.0006603
                     63,                0.46218,                 1.0317,                0.50232,                 1.0494,                0.68848,                0.77989,                0.72463,                 0.6496,                0.68848,                0.77989,                0.72361,                0.59954,                0.43767,                 1.2658,                0.77512,                 1.1256,              0.0006438,              0.0006438,              0.0006438
                     64,                0.47145,                 1.0442,                0.50582,                 1.0657,                0.68017,                0.75178,                0.73244,                0.66293,                 0.6756,                0.74616,                0.73076,                 0.6066,                 0.4364,                 1.1645,                0.79176,                 1.1776,             0.00062729,             0.00062729,             0.00062729
                     65,                0.45921,                 1.0225,                0.49708,                 1.0515,                0.73348,                0.78844,                0.71175,                0.64824,                0.73348,                0.78844,                0.71522,                0.59231,                0.43044,                  1.289,                0.80351,                 1.1347,             0.00061079,             0.00061079,             0.00061079
                     66,                0.45022,                 1.0112,                0.48479,                 1.0488,                 0.6693,                0.74993,                0.69227,                0.63336,                0.67477,                0.75554,                0.69085,                0.57217,                0.40882,                 1.2475,                0.83602,                 1.1072,             0.00059429,             0.00059429,             0.00059429
                     67,                0.45436,                0.99554,                0.48279,                 1.0517,                 0.6598,                0.72666,                0.71541,                0.64863,                0.64968,                0.74193,                0.71618,                0.58762,                0.43262,                 1.3382,                0.77096,                 1.1639,             0.00057778,             0.00057778,             0.00057778
                     68,                0.45101,                0.99363,                0.49102,                  1.047,                 0.7429,                0.67038,                0.71155,                0.65269,                 0.7429,                0.67038,                0.71142,                0.59972,                0.43375,                  1.319,                0.79895,                 1.1199,             0.00056128,             0.00056128,             0.00056128
                     69,                  0.451,                0.99791,                0.47609,                 1.0476,                0.69539,                0.76513,                0.70676,                0.64216,                0.69539,                0.76513,                0.70507,                 0.5836,                0.39942,                    1.2,                 0.7984,                  1.099,             0.00054478,             0.00054478,             0.00054478
                     70,                 0.4381,                0.96949,                 0.4578,                 1.0393,                0.79967,                0.70517,                 0.7176,                 0.6509,                0.79967,                0.70517,                0.71475,                0.60571,                 0.4037,                 1.2829,                0.83118,                 1.0848,             0.00052827,             0.00052827,             0.00052827
                     71,                0.45536,                0.98548,                0.46261,                 1.0474,                0.69203,                0.74265,                0.70487,                0.64349,                0.69771,                0.74827,                0.70462,                0.57685,                0.41371,                  1.361,                0.81854,                 1.1951,             0.00051177,             0.00051177,             0.00051177
                     72,                0.44129,                0.97587,                0.45633,                 1.0385,                0.75259,                0.72018,                0.71104,                0.65222,                0.75133,                0.72018,                0.71252,                0.59817,                0.39742,                 1.2553,                0.79181,                 1.1295,             0.00049527,             0.00049527,             0.00049527
                     73,                0.42734,                0.94632,                0.44674,                 1.0282,                0.71653,                0.76188,                0.69636,                0.64579,                0.71653,                0.76188,                0.69797,                0.59102,                0.40772,                 1.2924,                0.78672,                 1.1131,             0.00047876,             0.00047876,             0.00047876
                     74,                0.43502,                 0.9569,                0.44726,                 1.0358,                0.72729,                0.73142,                    0.7,                 0.6369,                0.72729,                0.73142,                0.69871,                0.58898,                0.41606,                 1.3281,                0.83447,                 1.1291,             0.00046226,             0.00046226,             0.00046226
                     75,                0.43508,                0.96311,                0.45143,                 1.0396,                0.71893,                0.75147,                0.71008,                 0.6597,                0.71893,                0.75147,                0.71008,                0.60327,                0.39869,                 1.2253,                0.77022,                 1.0735,             0.00044576,             0.00044576,             0.00044576
                     76,                0.42672,                0.95626,                0.43794,                 1.0318,                0.69135,                0.78039,                0.73068,                0.65815,                0.69135,                0.78039,                0.73118,                0.60892,                0.42625,                 1.1906,                0.77356,                 1.1648,             0.00042925,             0.00042925,             0.00042925
                     77,                0.42509,                0.92961,                0.42257,                 1.0286,                0.67761,                0.76719,                0.71612,                0.66005,                0.67761,                0.76719,                0.71612,                0.59787,                0.39938,                 1.4079,                0.82518,                 1.1072,             0.00041275,             0.00041275,             0.00041275
                     78,                0.42981,                0.91969,                0.42458,                 1.0277,                0.66003,                0.71189,                0.72274,                0.67702,                0.66499,                0.71751,                0.72316,                0.61096,                0.36852,                 1.2008,                0.85466,                 1.0518,             0.00039625,             0.00039625,             0.00039625
                     79,                0.42884,                0.93729,                0.41849,                 1.0266,                0.74747,                 0.6254,                0.66668,                0.62144,                0.74747,                 0.6254,                0.67018,                0.56624,                0.41934,                 1.3212,                 0.9813,                 1.1328,             0.00037974,             0.00037974,             0.00037974
                     80,                0.41332,                 0.9091,                0.41508,                 1.0171,                0.71254,                0.67135,                0.69139,                0.63637,                 0.7038,                0.68004,                 0.6975,                0.58493,                0.41893,                 1.3015,                0.87543,                 1.1839,             0.00036324,             0.00036324,             0.00036324
                     81,                0.40584,                0.91439,                0.40784,                 1.0151,                0.66026,                0.73521,                0.69105,                0.65253,                0.65134,                0.73821,                0.69344,                0.58303,                0.37968,                 1.2616,                0.88654,                 1.0546,             0.00034674,             0.00034674,             0.00034674
                     82,                0.40956,                 0.9115,                0.40508,                 1.0151,                0.70237,                0.70666,                0.69723,                0.64681,                0.70237,                0.70666,                0.69723,                 0.5826,                 0.4022,                 1.2207,                0.84189,                 1.0975,             0.00033023,             0.00033023,             0.00033023
                     83,                0.41042,                0.90654,                0.40913,                 1.0192,                0.71586,                0.71961,                0.68563,                 0.6287,                0.71586,                0.71961,                0.68563,                0.57683,                0.43363,                  1.318,                0.84052,                 1.1756,             0.00031373,             0.00031373,             0.00031373
                     84,                0.41219,                0.91125,                0.40487,                 1.0186,                0.68929,                0.78745,                0.72826,                0.66476,                0.68929,                0.78745,                0.72962,                0.60758,                 0.4145,                 1.3373,                0.78969,                  1.132,             0.00029723,             0.00029723,             0.00029723
                     85,                0.39831,                 0.9033,                 0.3872,                 1.0097,                0.75493,                0.70933,                0.72197,                0.67203,                0.75493,                0.70933,                0.72338,                0.61856,                0.39508,                 1.2362,                0.78904,                 1.1024,             0.00028072,             0.00028072,             0.00028072
                     86,                0.40125,                0.90288,                 0.3852,                 1.0157,                0.73111,                0.68317,                0.68898,                0.63357,                0.73111,                0.68317,                0.68971,                0.59211,                0.40725,                 1.3148,                 0.9715,                 1.1309,             0.00026422,             0.00026422,             0.00026422
                     87,                0.39969,                0.89381,                0.37844,                 1.0099,                0.72959,                0.68496,                0.69427,                0.65307,                0.72959,                0.68496,                0.69493,                 0.5988,                0.39356,                 1.3269,                0.87664,                 1.0738,             0.00024772,             0.00024772,             0.00024772
                     88,                0.40036,                0.89881,                 0.3792,                 1.0139,                0.72781,                0.72529,                0.71931,                0.66312,                0.72781,                0.72529,                0.71931,                0.61318,                0.38888,                 1.2635,                0.82742,                  1.076,             0.00023121,             0.00023121,             0.00023121
                     89,                0.39228,                0.88569,                0.36269,                 1.0009,                 0.8059,                0.72797,                0.73549,                0.67697,                 0.8059,                0.72797,                0.73646,                0.62041,                0.41147,                 1.2983,                 0.7863,                 1.0904,             0.00021471,             0.00021471,             0.00021471
                     90,                0.40001,                0.89225,                 0.3686,                 1.0111,                0.74233,                0.74504,                0.72206,                0.66181,                0.74233,                0.74504,                0.72206,                0.61402,                0.40486,                 1.3006,                0.82306,                 1.1103,             0.00019821,             0.00019821,             0.00019821
                     91,                0.19696,                0.62807,                 0.1691,                0.92691,                0.61224,                0.65487,                 0.6754,                0.62458,                0.61224,                0.65487,                0.68056,                0.57534,                0.43101,                 1.4227,                 1.0862,                 1.1577,              0.0001817,              0.0001817,              0.0001817
                     92,                0.18748,                0.59668,                0.15234,                0.91001,                0.71448,                0.70981,                0.68932,                0.64249,                0.71448,                0.70981,                0.69026,                0.58776,                0.40744,                 1.3738,                 0.9345,                 1.1209,              0.0001652,              0.0001652,              0.0001652
                     93,                0.17857,                0.58486,                0.14718,                0.90828,                0.69576,                0.70397,                0.67902,                0.62862,                0.69576,                0.70397,                0.68128,                0.58019,                 0.3947,                 1.3684,                0.94091,                 1.1278,              0.0001487,              0.0001487,              0.0001487
                     94,                0.17786,                0.58313,                0.14912,                0.91307,                 0.7372,                0.78111,                 0.7262,                0.67699,                 0.7372,                0.78111,                0.73342,                0.61948,                0.38615,                 1.4043,                0.84826,                 1.1193,             0.00013219,             0.00013219,             0.00013219
                     95,                0.17493,                 0.5819,                 0.1406,                0.90726,                0.76539,                0.66011,                0.68889,                0.64771,                0.76539,                0.66011,                0.68889,                0.59561,                0.37097,                 1.3553,                0.95572,                 1.0923,             0.00011569,             0.00011569,             0.00011569
                     96,                0.17008,                0.57578,                0.13483,                0.90389,                0.67267,                0.72792,                 0.6997,                0.66246,                0.67267,                0.72792,                0.70233,                0.60555,                 0.3683,                 1.3807,                0.97665,                  1.085,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.17187,                0.57648,                0.13339,                0.90112,                0.71534,                0.70973,                0.71745,                0.67478,                0.71534,                0.70973,                0.71823,                0.61485,                0.37643,                 1.4005,                0.90472,                 1.0763,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.16394,                0.56884,                0.12958,                0.89793,                0.73429,                0.68326,                0.69332,                0.64838,                0.73429,                0.68326,                0.69839,                0.59731,                0.38089,                 1.4298,                0.96777,                 1.0917,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.15811,                0.56389,                0.12597,                0.89276,                0.72017,                0.67641,                 0.6908,                0.65284,                0.72017,                0.67641,                0.69379,                0.59904,                0.37093,                 1.4525,                0.98887,                  1.086,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.1595,                0.55606,                0.12016,                0.89628,                0.71009,                0.67934,                0.69332,                 0.6521,                0.71009,                0.67934,                0.69332,                0.60392,                0.36927,                   1.43,                0.94815,                 1.0894,             3.3173e-05,             3.3173e-05,             3.3173e-05
