                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91243,                 2.2261,                 1.9637,                 1.4329,                0.13091,                0.30899,                0.15888,                  0.046,                0.60797,                0.39564,                0.23488,                 0.0862,                 2.6178,                 6.6186,                 9.4983,                 4.6565,             0.00054065,             0.00054065,             0.00054065
                      2,                0.95546,                 1.8691,                  1.261,                  1.436,                 0.5002,                0.01124,                 0.0001,                  3e-05,                  9e-05,                0.02809,                  5e-05,                  1e-05,                  4.901,                 35.103,                    inf,                 12.788,              0.0010746,              0.0010746,              0.0010746
                      3,                0.98847,                 1.9314,                 1.2206,                 1.4581,                0.00325,                 0.1573,                0.00215,                0.00045,                0.00208,                0.14045,                0.00099,                0.00017,                 3.4806,                 19.128,                    inf,                 12.224,              0.0015866,              0.0015866,              0.0015866
                      4,                0.97313,                 1.9224,                 1.1817,                 1.4435,                0.00283,                0.31936,                0.00205,                0.00046,                0.00038,                0.09551,                0.00025,                  7e-05,                 2.6642,                 14.848,                    inf,                 6.2905,               0.001568,               0.001568,               0.001568
                      5,                0.92557,                 1.8782,                 1.1238,                 1.4044,                0.51691,                0.30337,                0.02825,                0.00978,                0.51695,                0.30337,                0.02946,                0.01374,                 1.7969,                  3.698,                 14.223,                 3.2624,               0.001535,               0.001535,               0.001535
                      6,                0.87416,                 1.7333,                 1.0609,                 1.3728,                0.48932,                0.71067,                 0.6135,                0.38578,                0.42959,                 0.6169,                 0.5073,                0.23861,                 1.2167,                 6.5079,                 1.3129,                 2.1899,               0.001502,               0.001502,               0.001502
                      7,                0.83631,                 1.7141,                0.99977,                 1.3328,                0.87062,                0.43452,                0.55693,                0.40891,                0.86583,                0.42891,                0.52351,                0.34177,                0.86439,                 2.4131,                 1.3888,                 1.6573,               0.001469,               0.001469,               0.001469
                      8,                0.80209,                 1.6395,                0.97198,                 1.3065,                0.77287,                 0.3764,                0.46436,                0.33709,                0.78225,                0.35955,                0.44563,                0.27798,                0.94134,                 2.8852,                 1.5428,                 1.8025,               0.001436,               0.001436,               0.001436
                      9,                0.76778,                 1.5888,                0.95687,                 1.2833,                0.58718,                0.79883,                0.71134,                0.56484,                0.54069,                0.77398,                0.67877,                0.47056,                0.72569,                  1.556,                0.95199,                 1.4987,              0.0014029,              0.0014029,              0.0014029
                     10,                0.75606,                 1.5708,                0.90227,                 1.2787,                0.60705,                0.79797,                0.66047,                0.53422,                0.57874,                0.74265,                0.58493,                0.36619,                0.68969,                 2.0724,                0.90811,                 1.3487,              0.0013699,              0.0013699,              0.0013699
                     11,                0.73956,                 1.5148,                 0.9144,                 1.2649,                 0.6708,                0.75065,                0.64826,                0.50292,                 0.6708,                0.75065,                 0.6438,                0.45824,                0.78631,                 1.5803,                0.97299,                 1.5124,              0.0013369,              0.0013369,              0.0013369
                     12,                0.71882,                 1.5224,                0.87781,                  1.255,                0.64663,                0.79797,                0.72095,                0.54483,                 0.6243,                0.75951,                0.66101,                0.43239,                0.78992,                 2.5272,                 0.8243,                 1.6064,              0.0013039,              0.0013039,              0.0013039
                     13,                0.71423,                 1.5001,                0.86228,                 1.2521,                0.55113,                0.66941,                0.65281,                0.53253,                0.55113,                0.66941,                0.64731,                0.48369,                0.73143,                 1.6303,                 1.0016,                 1.5514,              0.0012709,              0.0012709,              0.0012709
                     14,                0.68517,                 1.4412,                0.83659,                 1.2137,                0.56709,                0.86319,                0.66257,                0.56023,                0.56091,                0.84767,                0.65888,                 0.4824,                0.60313,                  1.659,                0.92558,                 1.3387,              0.0012379,              0.0012379,              0.0012379
                     15,                 0.6722,                 1.4362,                0.82888,                 1.2179,                 0.6721,                0.80057,                0.70377,                0.53605,                 0.6646,                0.78696,                0.67136,                0.49708,                 0.6704,                 1.3945,                 0.8624,                 1.3814,              0.0012049,              0.0012049,              0.0012049
                     16,                0.67987,                 1.4274,                0.83246,                 1.2131,                 0.7395,                0.71817,                0.68626,                0.57305,                 0.7395,                0.71817,                 0.6832,                0.52137,                0.61759,                 1.4016,                0.81994,                 1.3145,              0.0011719,              0.0011719,              0.0011719
