                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89917,                 2.4296,                 2.1507,                 1.3964,                0.94063,                0.12513,                0.48581,                0.30594,                0.88126,                0.10828,                0.17554,                0.05358,                0.99626,                 5.8612,                  2.462,                 1.8485,             0.00054065,             0.00054065,             0.00054065
                      2,                 0.8436,                 1.6882,                 1.4345,                 1.3238,                0.71529,                0.30899,                0.26135,                0.10434,                0.73529,                0.32958,                0.26868,                0.10427,                 1.6292,                 3.7419,                 2.7546,                 2.9158,              0.0010746,              0.0010746,              0.0010746
                      3,                0.87769,                 1.7583,                 1.3119,                 1.3562,                0.29195,                0.61346,                0.50365,                0.30268,                0.29256,                0.60831,                0.46397,                0.18888,                 1.3423,                 5.1785,                 2.4061,                 2.6863,              0.0015866,              0.0015866,              0.0015866
                      4,                0.90653,                 1.7373,                 1.2157,                   1.37,                0.60807,                0.26966,                0.13409,                0.07097,                0.60467,                0.25843,                0.13152,                0.05563,                 1.6047,                 4.0475,                 3.2755,                 2.5125,               0.001568,               0.001568,               0.001568
                      5,                0.86179,                 1.7411,                 1.1096,                  1.331,                0.88536,                0.38764,                 0.4846,                0.35632,                0.88536,                0.38764,                0.48473,                0.30998,                0.93242,                 2.6333,                 1.5305,                 1.7165,               0.001535,               0.001535,               0.001535
                      6,                0.83667,                 1.6255,                 1.0564,                 1.3215,                0.42417,                 0.7299,                 0.5583,                0.37952,                0.41332,                0.70506,                0.53439,                0.34465,                 1.0513,                 2.0203,                 1.2396,                 1.8655,               0.001502,               0.001502,               0.001502
                      7,                0.80915,                 1.6244,                0.99029,                 1.2951,                0.47377,                0.72356,                0.72075,                0.55399,                0.47161,                0.72184,                0.71749,                0.48107,                0.79193,                 1.9585,                 1.2876,                 1.5496,               0.001469,               0.001469,               0.001469
                      8,                0.77107,                 1.5828,                0.95484,                 1.2664,                0.42451,                0.75146,                0.65217,                0.48809,                 0.4125,                0.73762,                0.62743,                0.46026,                0.94674,                 1.5424,                 1.2204,                  1.764,               0.001436,               0.001436,               0.001436
                      9,                0.76407,                 1.5407,                0.94418,                 1.2618,                0.56316,                0.67697,                0.64622,                0.47226,                0.58237,                0.69382,                0.63479,                0.43581,                0.82031,                 1.7827,                 1.0258,                 1.5468,              0.0014029,              0.0014029,              0.0014029
                     10,                0.74217,                 1.5215,                0.89593,                 1.2501,                0.43113,                0.44922,                0.43337,                0.23639,                0.41695,                0.41876,                0.40773,                0.23847,                 1.4206,                 1.8836,                 1.5362,                 2.1438,              0.0013699,              0.0013699,              0.0013699
                     11,                 0.7378,                 1.4839,                0.90245,                 1.2445,                0.52855,                0.75491,                0.60649,                 0.4685,                0.52762,                0.78389,                0.60229,                0.44035,                0.82834,                 1.5124,                 1.0321,                 1.5429,              0.0013369,              0.0013369,              0.0013369
